,Title,Release Date,Team,Rating,Times Listed,Number of Reviews,Genres,Plays,Playing,Backlogs,Wishlist,Developer,Publisher,Year Released,Month Released,Game Type,Genre 1,Genre 2,Genre 3,Genre 4,Genre 5,Genre 6,Total Sales,North American Sales,Japan Sales,PAL Sales,Other Sales,Console
847,Yakuza: Like a Dragon,16-Jan-20,"['Sega', 'RyÅ« Ga Gotoku Studios']",4.3,1.6K,1600,"['Adventure', 'RPG', 'Turn Based Strategy']",6000,847,4.8K,2.8K,Sega,Sega,2020,Jan,AAA,Adventure,RPG,Turn Based Strategy,,,,,,,,,['PS4']
848,Animal Crossing: New Horizons,19-Mar-20,"['Nintendo EPD', 'Nintendo']",3.6,1.6K,1600,['Simulator'],20000,1.8K,1.3K,1.1K,Nintendo,Nintendo,2020,Mar,AAA,Simulator,,,,,,,,,,,['NS']
849,BioShock Infinite,26-Feb-13,"['Irrational Games', '2K Games']",3.5,1.5K,1500,"['Adventure', 'Shooter']",18000,197,4.1K,949,Irrational Games,2K Games,2013,Feb,AAA,Adventure,Shooter,,,,,1.82,0.74,0.04,0.74,0.3,"['OSX', 'PC', 'X360', 'PS3']"
852,Sonic Mania,15-Aug-17,"['PagodaWest Games', 'Sega']",4,1.3K,1300,"['Adventure', 'Platform']",12000,399,3.5K,786,PagodaWest Games,Sega,2017,Aug,AAA,Adventure,Platform,,,,,0.13,0.09,,0.03,0.01,"['NS', 'PS4', 'PC', 'XOne']"
854,Left 4 Dead 2,17-Nov-09,"['Turtle Rock Studios', 'Valve']",3.9,1.1K,1100,['Shooter'],19000,279,1.5K,358,Certain Affinity / Valve Software,Electronic Arts,2009,Nov,AAA,Shooter,,,,,,0.36,,,0.32,0.04,"['X360', 'PC']"
856,Control,27-Aug-19,"['505 Games', 'Remedy Entertainment']",3.6,1.3K,1300,"['Adventure', 'Shooter']",9600,591,5.2K,1.3K,Remedy Entertainment,505 Games,2019,Aug,Indie,Adventure,Shooter,,,,,,,,,,"['PS4', 'PC', 'XOne']"
858,Batman: Arkham City,18-Oct-11,"['DC Entertainment', 'Rocksteady Studios']",4.1,1.6K,1600,"['Adventure', 'Brawler']",16000,192,2.7K,651,Rocksteady Studios,Warner Bros. Interactive Entertainment,2011,Oct,AAA,Adventure,Brawler,,,,,,,,,,"['PS3', 'X360', 'PC']"
859,Yakuza Kiwami,21-Jan-16,"['Sega', 'RyÅ« Ga Gotoku Studios']",3.7,1.2K,1200,"['Adventure', 'Brawler', 'RPG']",9700,439,3.4K,1K,Sega,Sega,2016,Jan,AAA,Adventure,Brawler,RPG,,,,0.13,,0.13,,,['PS3']
860,Phoenix Wright: Ace Attorney,15-Sep-05,"['Nintendo Australia', 'Capcom']",4.1,1.3K,1300,"['Adventure', 'Point-and-Click', 'Puzzle', 'Visual Novel']",12000,418,1.9K,1K,Capcom,Capcom,2005,Sep,AAA,Adventure,Point-and-Click,Puzzle,Visual Novel,,,0.93,0.44,0.39,0.05,0.05,['DS']
861,Team Fortress 2,9-Oct-07,"['Electronic Arts', 'Valve']",3.9,955,955,['Shooter'],16000,505,532,158,Valve Corporation,Valve Corporation,2007,Oct,AAA,Shooter,,,,,,,,,,,"['PS3', 'X360']"
862,Xenoblade Chronicles 2,1-Dec-17,"['Monolith Soft', 'Nintendo']",3.9,1.4K,1400,"['Adventure', 'RPG']",7400,453,2.7K,1.5K,Monolith Soft,Nintendo,2017,Dec,AAA,Adventure,RPG,,,,,,,,,,['NS']
865,Katana Zero,18-Apr-19,"['Askiisoft', 'Devolver Digital']",4.1,1.1K,1100,"['Adventure', 'Arcade', 'Indie', 'Platform', 'Strategy']",9300,189,2.1K,1.5K,Askiisoft,Devolver Digital,2019,Apr,Indie,Adventure,Arcade,Indie,Platform,Strategy,,,,,,,['PC']
866,Life is Strange,29-Jan-15,"[""DON'T NOD"", 'Square Enix']",3.4,1.4K,1400,"['Adventure', 'RPG']",15000,209,2.1K,817,DONTNOD Entertainment,Square Enix,2015,Jan,AAA,Adventure,RPG,,,,,,,,,,"['X360', 'PS3']"
867,Dark Souls II: Scholar of the First Sin,2-Apr-15,"['Bandai Namco Entertainment', 'FromSoftware']",3.5,988,988,"['Adventure', 'RPG']",11000,443,2.7K,994,From Software,Namco Bandai Games,2015,Apr,AAA,Adventure,RPG,,,,,0.28,0.19,,0.07,0.03,"['PS4', 'XOne']"
869,Shadow of the Colossus,18-Oct-05,"['Sony Computer Entertainment, Inc. (SCEI)', 'Team Ico']",4.4,1.5K,1500,"['Adventure', 'Platform', 'Puzzle']",10000,134,2.9K,1.7K,Team ICO,Sony Computer Entertainment,2005,Oct,AAA,Adventure,Platform,Puzzle,,,,1.14,0.78,0.2,0.03,0.13,['PS2']
872,Fallout 4,9-Nov-15,"['Bethesda Game Studios', 'Bethesda Softworks']",3.1,1K,1000,"['RPG', 'Shooter']",16000,407,2.9K,752,Bethesda Game Studios,Bethesda Softworks,2015,Nov,AAA,RPG,Shooter,,,,,5.03,2.94,0.02,1.62,0.45,"['PS4', 'PC', 'XOne']"
873,Uncharted 4: A Thief's End,10-May-16,"['Naughty Dog', 'Sony Interactive Entertainment']",4.1,1.8K,1800,"['Adventure', 'Shooter']",14000,177,2.7K,1.2K,Naughty Dog,Sony Interactive Entertainment,2016,May,AAA,Adventure,Shooter,,,,,,,,,,['PS4']
875,Silent Hill,23-Feb-99,"['Konami', 'Team Silent']",4.1,1.3K,1300,"['Adventure', 'Puzzle']",6800,272,2.3K,1.6K,Konami Computer Entertainment Tokyo,Konami,1999,Feb,AAA,Adventure,Puzzle,,,,,,,,,,"['PS', 'Series']"
876,Super Smash Bros. Brawl,31-Jan-08,"['Nintendo', 'Sora']",3.8,1.3K,1300,"['Fighting', 'Platform']",19000,51,511,250,Project Sora,Nintendo,2008,Jan,AAA,Fighting,Platform,,,,,,,,,,['Wii']
877,Borderlands 2,18-Sep-12,"['Gearbox Software', '2K Games']",3.5,1.1K,1100,"['RPG', 'Shooter']",16000,344,2.7K,494,Gearbox Software,2K Games,2012,Sep,AAA,RPG,Shooter,,,,,0.94,0.43,,0.42,0.09,"['PS3', 'PC']"
